Countries and territories[a],Cases[b],Deaths[c],Recov.[d],Ref.
Nepal,16,0,1,[263]
Botswana,15,1,0,[264]
Saint Lucia,15,0,0,[265]
Curaçao,14,1,7,[266]
Grenada,14,0,0,[267]
Saint Kitts & Nevis,14,0,0,[268]
Northern Mariana Islands ,13,2,–,[269]
Central African Republic,12,0,4,[270]
Saint Vincent,12,0,1,[271]
Åland Islands,11,0,0,[272]
Falkland Islands,11,0,1,[273]
Greenland,11,0,11,[274]
Montserrat,11,0,1,[275]
Seychelles,11,5,0,[276]
Turks & Caicos Islands,11,1,0,[277]
Akrotiri & Dhekelia,10,0,0,[278]
Suriname,10,1,6,[279]
Gambia,9,1,2,[280]
Nicaragua,9,1,6,[281][282]
Vatican City,8,0,2,[283]
Mauritania,7,1,2,[284]
Papua New Guinea,7,0,0,[285]
Saint Barthélemy,6,0,1,[238]
Artsakh,5,0,0,[286]
Bhutan,5,0,2,[287]
Burundi,5,1,0,[288]
Somaliland,5,0,0,[289]
São Tomé & Príncipe,4,0,0,[290]
South Sudan,4,0,0,[291]
Anguilla,3,0,1,[292]
British Virgin Islands,3,0,2,[293]
Saba,2,0,0,[294]
Sint Eustatius,2,0,0,[295][296]
Abkhazia,1,0,0,[297]
Bonaire,1,0,0,[298]
Guantanamo Bay,1,0,–,[299]
Saint Pierre & Miquelon,1,0,0,[300]
Yemen,1,0,0,[301]
